Year,Month,CITY,Total
1943,Dec,TORONTO,14
1943,Feb,TORONTO,7
1943,Jan,TORONTO,10
1943,Jul,TORONTO,15
1943,Jun,TORONTO,11
1943,Mar,TORONTO,6
1943,Nov,TORONTO,9
1943,Sep,TORONTO,12
1944,Aug,TORONTO,8
1944,Dec,TORONTO,6
1944,Feb,TORONTO,6
1944,Jul,TORONTO,11
1944,Jun,OTTAWA,10
1944,Jun,TORONTO,18
1944,Mar,TORONTO,9
1944,May,TORONTO,11
1944,Oct,TORONTO,11
1944,Sep,TORONTO,14
1945,Apr,TORONTO,6
1945,Aug,TORONTO,9
1945,Dec,TORONTO,13
1945,Jan,TORONTO,9
1945,Jul,TORONTO,13
1945,Jun,TORONTO,17
1945,Mar,TORONTO,9
1945,May,OTTAWA,6
1945,May,TORONTO,9
1945,Nov,TORONTO,10
1945,Oct,TORONTO,16
1945,Sep,TORONTO,20
1946,Apr,TORONTO,13
1946,Aug,TORONTO,13
1946,Dec,TORONTO,12
1946,Feb,TORONTO,8
1946,Jan,TORONTO,8
1946,Jul,OTTAWA,6
1946,Jul,TORONTO,14
1946,Jun,HAMILTON,6
1946,Jun,OTTAWA,6
1946,Jun,TORONTO,28
1946,Mar,TORONTO,8
1946,May,TORONTO,6
1946,Nov,HAMILTON,7
1946,Nov,TORONTO,10
1946,Oct,OTTAWA,6
1946,Oct,TORONTO,17
1946,Sep,OTTAWA,10
1946,Sep,TORONTO,27
1947,Aug,TORONTO,10
1947,Dec,TORONTO,11
1947,Feb,TORONTO,11
1947,Jan,TORONTO,8
1947,Jul,TORONTO,17
1947,Jun,HAMILTON,6
1947,Jun,OTTAWA,8
1947,Jun,TORONTO,27
1947,Jun,WINDSOR,8
1947,Mar,TORONTO,10
1947,May,TORONTO,17
1947,Nov,TORONTO,17
1947,Oct,TORONTO,14
1947,Sep,TORONTO,20
1948,Apr,TORONTO,14
1948,Aug,TORONTO,13
1948,Dec,TORONTO,6
1948,Feb,TORONTO,20
1948,Jan,TORONTO,12
1948,Jul,TORONTO,23
1948,Jun,HAMILTON,8
1948,Jun,TORONTO,17
1948,Mar,TORONTO,7
1948,May,HAMILTON,6
1948,May,OTTAWA,6
1948,May,TORONTO,14
1948,Nov,TORONTO,21
1948,Oct,TORONTO,19
1948,Sep,TORONTO,31
1949,Apr,HAMILTON,7
1949,Apr,TORONTO,28
1949,Aug,OTTAWA,7
1949,Aug,TORONTO,16
1949,Dec,TORONTO,17
1949,Feb,TORONTO,8
1949,Jan,TORONTO,7
1949,Jul,TORONTO,11
1949,Jun,OTTAWA,6
1949,Jun,TORONTO,29
1949,Mar,TORONTO,10
1949,May,TORONTO,15
1949,Nov,TORONTO,21
1949,Oct,OTTAWA,6
1949,Oct,TORONTO,21
1949,Sep,HAMILTON,7
1949,Sep,OTTAWA,11
1949,Sep,TORONTO,33
1950,Apr,HAMILTON,6
1950,Apr,TORONTO,15
1950,Aug,OTTAWA,10
1950,Aug,TORONTO,21
1950,Dec,TORONTO,15
1950,Feb,TORONTO,11
1950,Jul,TORONTO,30
1950,Jun,HAMILTON,7
1950,Jun,TORONTO,45
1950,Mar,TORONTO,11
1950,May,OTTAWA,7
1950,May,TORONTO,19
1950,Nov,OTTAWA,6
1950,Nov,TORONTO,14
1950,Oct,TORONTO,26
1950,Sep,OTTAWA,11
1950,Sep,TORONTO,29
1951,Apr,TORONTO,23
1951,Aug,HAMILTON,6
1951,Aug,TORONTO,21
1951,Dec,TORONTO,28
1951,Feb,TORONTO,18
1951,Jan,TORONTO,13
1951,Jul,HAMILTON,8
1951,Jul,OTTAWA,6
1951,Jul,TORONTO,20
1951,Jun,HAMILTON,13
1951,Jun,LONDON,6
1951,Jun,OTTAWA,10
1951,Jun,TORONTO,43
1951,Mar,TORONTO,15
1951,May,TORONTO,24
1951,Nov,OTTAWA,6
1951,Nov,TORONTO,22
1951,Oct,TORONTO,23
1951,Sep,OTTAWA,11
1951,Sep,TORONTO,34
1952,Apr,HAMILTON,6
1952,Apr,TORONTO,14
1952,Aug,HAMILTON,6
1952,Aug,OTTAWA,14
1952,Aug,SAULT STE MARIE,7
1952,Aug,TORONTO,39
1952,Aug,WINDSOR,6
1952,Dec,TORONTO,28
1952,Feb,TORONTO,14
1952,Jan,TORONTO,7
1952,Jul,TORONTO,30
1952,Jun,HAMILTON,7
1952,Jun,OTTAWA,8
1952,Jun,SAULT STE MARIE,6
1952,Jun,TORONTO,37
1952,Mar,HAMILTON,7
1952,Mar,TORONTO,13
1952,May,HAMILTON,7
1952,May,TORONTO,29
1952,Nov,TORONTO,48
1952,Oct,OTTAWA,6
1952,Oct,TORONTO,28
1952,Sep,HAMILTON,7
1952,Sep,OTTAWA,6
1952,Sep,TORONTO,40
1953,Apr,TORONTO,19
1953,Aug,OTTAWA,6
1953,Aug,TORONTO,24
1953,Dec,OTTAWA,6
1953,Dec,TORONTO,19
1953,Feb,TORONTO,18
1953,Jan,TORONTO,9
1953,Jul,HAMILTON,6
1953,Jul,OTTAWA,10
1953,Jul,TORONTO,26
1953,Jun,HAMILTON,10
1953,Jun,TORONTO,47
1953,Mar,TORONTO,15
1953,May,OTTAWA,6
1953,May,TORONTO,35
1953,Nov,TORONTO,21
1953,Oct,HAMILTON,11
1953,Oct,KINGSTON,6
1953,Oct,OTTAWA,8
1953,Oct,TORONTO,24
1953,Sep,HAMILTON,6
1953,Sep,OTTAWA,6
1953,Sep,TORONTO,27
1954,Apr,TORONTO,20
1954,Aug,TORONTO,20
1954,Dec,OTTAWA,6
1954,Dec,TORONTO,25
1954,Feb,TORONTO,14
1954,Jan,TORONTO,22
1954,Jul,TORONTO,31
1954,Jun,HAMILTON,11
1954,Jun,TORONTO,38
1954,Mar,TORONTO,18
1954,May,OTTAWA,8
1954,May,TORONTO,19
1954,Nov,TORONTO,25
1954,Oct,OTTAWA,12
1954,Oct,TORONTO,40
1954,Sep,OTTAWA,7
1954,Sep,TORONTO,36
1955,Apr,OTTAWA,8
1955,Apr,TORONTO,23
1955,Aug,HAMILTON,6
1955,Aug,TORONTO,33
1955,Dec,OTTAWA,13
1955,Dec,TORONTO,24
1955,Feb,TORONTO,15
1955,Jan,TORONTO,17
1955,Jul,HAMILTON,6
1955,Jul,OTTAWA,6
1955,Jul,TORONTO,28
1955,Jun,OTTAWA,12
1955,Jun,TORONTO,30
1955,Mar,TORONTO,12
1955,May,TORONTO,19
1955,Nov,OTTAWA,6
1955,Nov,TORONTO,25
1955,Oct,HAMILTON,8
1955,Oct,OTTAWA,10
1955,Oct,TORONTO,28
1955,Sep,HAMILTON,8
1955,Sep,TORONTO,30
1956,Apr,TORONTO,33
1956,Aug,OTTAWA,7
1956,Aug,TORONTO,18
1956,Dec,HAMILTON,6
1956,Dec,OTTAWA,8
1956,Dec,TORONTO,35
1956,Feb,TORONTO,21
1956,Jan,TORONTO,11
1956,Jul,TORONTO,27
1956,Jun,OTTAWA,12
1956,Jun,TORONTO,34
1956,Jun,YORK,9
1956,Mar,TORONTO,24
1956,May,HAMILTON,8
1956,May,OTTAWA,8
1956,May,TORONTO,35
1956,Nov,TORONTO,22
1956,Oct,HAMILTON,7
1956,Oct,TORONTO,49
1956,Sep,HAMILTON,7
1956,Sep,OTTAWA,14
1956,Sep,ST CATHARINES,6
1956,Sep,TORONTO,45
1957,Apr,TORONTO,16
1957,Aug,HAMILTON,7
1957,Aug,TORONTO,41
1957,Dec,HAMILTON,6
1957,Dec,TORONTO,27
1957,Feb,TORONTO,15
1957,Jan,TORONTO,18
1957,Jul,TORONTO,37
1957,Jun,HAMILTON,8
1957,Jun,OTTAWA,12
1957,Jun,TORONTO,38
1957,Jun,WINDSOR,7
1957,Mar,HAMILTON,6
1957,Mar,TORONTO,19
1957,May,HAMILTON,10
1957,May,OTTAWA,10
1957,May,TORONTO,21
1957,May,WINDSOR,6
1957,Nov,OTTAWA,6
1957,Nov,TORONTO,27
1957,Oct,HAMILTON,9
1957,Oct,OTTAWA,7
1957,Oct,TORONTO,37
1957,Sep,OTTAWA,9
1957,Sep,TORONTO,36
1958,Apr,TORONTO,26
1958,Aug,OTTAWA,10
1958,Aug,TORONTO,40
1958,Dec,TORONTO,40
1958,Feb,TORONTO,32
1958,Jan,TORONTO,30
1958,Jul,HAMILTON,6
1958,Jul,OTTAWA,11
1958,Jul,TORONTO,33
1958,Jun,HAMILTON,8
1958,Jun,OTTAWA,14
1958,Jun,TORONTO,44
1958,Mar,TORONTO,20
1958,May,HAMILTON,8
1958,May,OTTAWA,10
1958,May,TORONTO,31
1958,Nov,OTTAWA,7
1958,Nov,TORONTO,46
1958,Oct,OTTAWA,8
1958,Oct,TORONTO,34
1958,Sep,HAMILTON,7
1958,Sep,OTTAWA,10
1958,Sep,TORONTO,39
1959,Apr,TORONTO,29
1959,Aug,HAMILTON,6
1959,Aug,OTTAWA,10
1959,Aug,TORONTO,21
1959,Dec,OTTAWA,6
1959,Dec,TORONTO,21
1959,Feb,TORONTO,25
1959,Jan,TORONTO,29
1959,Jul,HAMILTON,8
1959,Jul,TORONTO,36
1959,Jun,OTTAWA,8
1959,Jun,TORONTO,48
1959,Mar,TORONTO,21
1959,May,HAMILTON,6
1959,May,LONDON,7
1959,May,OTTAWA,6
1959,May,TORONTO,41
1959,May,WINDSOR,9
1959,Nov,OTTAWA,7
1959,Nov,TORONTO,30
1959,Oct,HAMILTON,10
1959,Oct,NORTH YORK,7
1959,Oct,TORONTO,40
1959,Sep,HAMILTON,7
1959,Sep,OTTAWA,11
1959,Sep,TORONTO,46
1959,Sep,WINDSOR,7
1960,Apr,AURORA,6
1960,Apr,AYLMER,11
1960,Apr,BANCROFT,7
1960,Apr,BARRIE,18
1960,Apr,BELLEVILLE,25
1960,Apr,BOWMANVILLE,8
1960,Apr,BRAMPTON,9
1960,Apr,BRANTFORD,54
1960,Apr,BROCKVILLE,10
1960,Apr,BURLINGTON,16
1960,Apr,CHATHAM,26
1960,Apr,CLINTON,9
1960,Apr,CORNWALL,31
1960,Apr,DELHI,7
1960,Apr,DRYDEN,9
1960,Apr,DUNDAS,11
1960,Apr,E YORK TWP,9
1960,Apr,EASTVIEW,14
1960,Apr,ELLIOT LAKE,9
1960,Apr,ESPANOLA,7
1960,Apr,ESSEX,7
1960,Apr,ETOBICOKE TWP,34
1960,Apr,EXETER,7
1960,Apr,FORT FRANCES,8
1960,Apr,FORT WILLIAM,21
1960,Apr,GALT,14
1960,Apr,GANANOQUE,8
1960,Apr,GEORGETOWN,6
1960,Apr,GUELPH,19
1960,Apr,HAMILTON,206
1960,Apr,KAPUSKASING,9
1960,Apr,KINGSTON,40
1960,Apr,KINGSVILLE,6
1960,Apr,KITCHENER,44
1960,Apr,LEAMINGTON,12
1960,Apr,LEASIDE,7
1960,Apr,LINDSAY,6
1960,Apr,LONDON,98
1960,Apr,LONG BRANCH,9
1960,Apr,MIMICO,17
1960,Apr,N YORK TWP,52
1960,Apr,NEWMARKET,7
1960,Apr,NIAGARA FALLS,39
1960,Apr,NORTH BAY,30
1960,Apr,OAKVILLE,11
1960,Apr,ORILLIA,7
1960,Apr,OSHAWA,36
1960,Apr,OTTAWA,166
1960,Apr,OWEN SOUND,12
1960,Apr,PARIS,6
1960,Apr,PARRY SOUND,8
1960,Apr,PEMBROKE,10
1960,Apr,PETERBOROUGH,29
1960,Apr,PORT ARTHUR,40
1960,Apr,PORT COLBORNE,17
1960,Apr,PORT CREDIT,6
1960,Apr,PORT HOPE,7
1960,Apr,RICHMOND HILL,8
1960,Apr,SALTFLEET TWP,6
1960,Apr,SANDWICH W TWP,7
1960,Apr,SARNIA,35
1960,Apr,SAULT STE MARIE,52
1960,Apr,SCARBOROUGH TWP,46
1960,Apr,SIMCOE,8
1960,Apr,SIOUX LOOKOUT,6
1960,Apr,SMITHS FALLS,6
1960,Apr,ST CATHARINES,53
1960,Apr,ST THOMAS,23
1960,Apr,STAMFORD TWP,6
1960,Apr,STRATFORD,15
1960,Apr,STRATHROY,8
1960,Apr,STURGEON FALLS,7
1960,Apr,SUDBURY,54
1960,Apr,SWANSEA,7
1960,Apr,TECK TWP,10
1960,Apr,THISTLETOWN,7
1960,Apr,TILLSONBURG,7
1960,Apr,TIMMINS,11
1960,Apr,TORONTO,936
1960,Apr,TORONTO TWP,12
1960,Apr,TRENTON,13
1960,Apr,WALLACEBURG,7
1960,Apr,WATERLOO,6
1960,Apr,WELLAND,25
1960,Apr,WESTON,12
1960,Apr,WHITBY,9
1960,Apr,WINDSOR,100
1960,Apr,WOODSTOCK,12
1960,Apr,YORK TWP,38
1960,Aug,ANCASTER TWP,6
1960,Aug,BARRIE,20
1960,Aug,BELLEVILLE,23
1960,Aug,BLENHEIM,7
1960,Aug,BOWMANVILLE,9
1960,Aug,BRAMPTON,13
1960,Aug,BRANTFORD,46
1960,Aug,BRIGHTON,6
1960,Aug,BROCKVILLE,14
1960,Aug,BURLINGTON,28
1960,Aug,CALVERT TWP,8
1960,Aug,CHATHAM,33
1960,Aug,CHELMSFORD,6
1960,Aug,CLINTON,6
1960,Aug,COBOURG,11
1960,Aug,COCHRANE,10
1960,Aug,COLLINGWOOD,6
1960,Aug,COPPER CLIFF,8
1960,Aug,CORNWALL,44
1960,Aug,DUNDAS,11
1960,Aug,E YORK TWP,9
1960,Aug,EASTVIEW,22
1960,Aug,ELLIOT LAKE,8
1960,Aug,ESPANOLA,7
1960,Aug,ETOBICOKE TWP,34
1960,Aug,FORT ERIE,10
1960,Aug,FORT FRANCES,9
1960,Aug,FORT WILLIAM,41
1960,Aug,GALT,14
1960,Aug,GANANOQUE,6
1960,Aug,GRIMSBY,6
1960,Aug,GUELPH,30
1960,Aug,HAMILTON,163
1960,Aug,HANOVER,6
1960,Aug,HAWKESBURY,13
1960,Aug,INGERSOLL,6
1960,Aug,KAPUSKASING,8
1960,Aug,KENORA,7
1960,Aug,KINGSTON,53
1960,Aug,KITCHENER,58
1960,Aug,LEAMINGTON,8
1960,Aug,LEASIDE,8
1960,Aug,LINDSAY,11
1960,Aug,LONDON,121
1960,Aug,LONDON TWP,7
1960,Aug,MIMICO,7
1960,Aug,MOUNTJOY TWP,8
1960,Aug,N YORK TWP,41
1960,Aug,NEW LISKEARD,6
1960,Aug,NEWMARKET,13
1960,Aug,NIAGARA FALLS,30
1960,Aug,NORTH BAY,24
1960,Aug,OAKVILLE,13
1960,Aug,ORILLIA,24
1960,Aug,OSHAWA,43
1960,Aug,OTTAWA,184
1960,Aug,OWEN SOUND,14
1960,Aug,PEMBROKE,21
1960,Aug,PETERBOROUGH,38
1960,Aug,PETROLIA,8
1960,Aug,PORT ARTHUR,43
1960,Aug,PORT COLBORNE,15
1960,Aug,PORT CREDIT,12
1960,Aug,PORT HOPE,14
1960,Aug,PRESCOTT,7
1960,Aug,RENFREW,7
1960,Aug,RIVERSIDE,6
1960,Aug,SARNIA,25
1960,Aug,SAULT STE MARIE,55
1960,Aug,SCARBOROUGH TWP,55
1960,Aug,SMITHS FALLS,12
1960,Aug,ST CATHARINES,47
1960,Aug,ST THOMAS,16
1960,Aug,STAMFORD TWP,10
1960,Aug,STRATFORD,18
1960,Aug,STURGEON FALLS,8
1960,Aug,SUDBURY,96
1960,Aug,TECK TWP,11
1960,Aug,TECUMSEH,6
1960,Aug,THOROLD,6
1960,Aug,TILLSONBURG,7
1960,Aug,TIMMINS,30
1960,Aug,TORONTO,884
1960,Aug,TORONTO TWP,11
1960,Aug,TRENTON,13
1960,Aug,WALLACEBURG,7
1960,Aug,WATERLOO,12
1960,Aug,WELLAND,29
1960,Aug,WESTON,7
1960,Aug,WHITBY,9
1960,Aug,WINDSOR,97
1960,Aug,WOODBRIDGE,7
1960,Aug,WOODSTOCK,8
1960,Aug,YORK TWP,29
1960,Dec,ANCASTER,6
1960,Dec,BARRIE,23
1960,Dec,BELLEVILLE,22
1960,Dec,BERTIE TWP,6
1960,Dec,BRAMPTON,11
1960,Dec,BRANTFORD,26
1960,Dec,BURLINGTON,17
1960,Dec,CHATHAM,20
1960,Dec,CLINTON,6
1960,Dec,COBOURG,8
1960,Dec,COLLINGWOOD,6
1960,Dec,CORNWALL,26
1960,Dec,DRYDEN,6
1960,Dec,E YORK TWP,6
1960,Dec,EASTVIEW,11
1960,Dec,ELLIOT LAKE,14
1960,Dec,ETOBICOKE TWP,23
1960,Dec,FOREST,7
1960,Dec,FORT WILLIAM,33
1960,Dec,GALT,12
1960,Dec,GRIMSBY,6
1960,Dec,GUELPH,23
1960,Dec,HAMILTON,154
1960,Dec,INGERSOLL,7
1960,Dec,KINGSTON,19
1960,Dec,KITCHENER,42
1960,Dec,LEAMINGTON,11
1960,Dec,LONDON,90
1960,Dec,LONDON TWP,7
1960,Dec,LONG BRANCH,10
1960,Dec,MIDLAND,7
1960,Dec,MIMICO,10
1960,Dec,N YORK TWP,49
1960,Dec,NIAGARA FALLS,26
1960,Dec,NORTH BAY,16
1960,Dec,OAKVILLE,11
1960,Dec,ORANGEVILLE,6
1960,Dec,ORILLIA,8
1960,Dec,OSHAWA,19
1960,Dec,OTTAWA,150
1960,Dec,OWEN SOUND,9
1960,Dec,PARRY SOUND,8
1960,Dec,PEMBROKE,16
1960,Dec,PETERBOROUGH,23
1960,Dec,PORT ARTHUR,28
1960,Dec,PORT COLBORNE,7
1960,Dec,PORT CREDIT,6
1960,Dec,PRESCOTT,8
1960,Dec,PRESTON,7
1960,Dec,SARNIA,21
1960,Dec,SAULT STE MARIE,33
1960,Dec,SCARBOROUGH TWP,47
1960,Dec,SIMCOE,7
1960,Dec,SMITHS FALLS,9
1960,Dec,ST CATHARINES,36
1960,Dec,ST THOMAS,10
1960,Dec,STRATFORD,14
1960,Dec,SUDBURY,62
1960,Dec,TECK TWP,8
1960,Dec,THOROLD,6
1960,Dec,TIMMINS,15
1960,Dec,TORONTO,785
1960,Dec,TORONTO TWP,6
1960,Dec,TRENTON,9
1960,Dec,WELLAND,17
1960,Dec,WESTON,13
1960,Dec,WHITBY,6
1960,Dec,WIDDIFIELD TWP,7
1960,Dec,WINDSOR,80
1960,Dec,WOODSTOCK,14
1960,Dec,YORK TWP,16
1960,Feb,BARRIE,8
1960,Feb,BELLEVILLE,8
1960,Feb,BRANTFORD,27
1960,Feb,BROCKVILLE,7
1960,Feb,BURLINGTON,14
1960,Feb,CHATHAM,14
1960,Feb,CORNWALL,23
1960,Feb,E YORK TWP,7
1960,Feb,EASTVIEW,8
1960,Feb,ELLIOT LAKE,6
1960,Feb,ETOBICOKE TWP,9
1960,Feb,FORT ERIE,6
1960,Feb,FORT FRANCES,6
1960,Feb,FORT WILLIAM,23
1960,Feb,GALT,13
1960,Feb,GUELPH,14
1960,Feb,HAMILTON,150
1960,Feb,INGERSOLL,6
1960,Feb,KINGSTON,32
1960,Feb,KITCHENER,30
1960,Feb,LEAMINGTON,12
1960,Feb,LINDSAY,6
1960,Feb,LONDON,72
1960,Feb,LONG BRANCH,7
1960,Feb,MIDLAND,6
1960,Feb,MIMICO,12
1960,Feb,N YORK TWP,29
1960,Feb,NIAGARA FALLS,13
1960,Feb,NORTH BAY,13
1960,Feb,OAKVILLE,6
1960,Feb,ORILLIA,10
1960,Feb,OSHAWA,25
1960,Feb,OTTAWA,118
1960,Feb,OWEN SOUND,14
1960,Feb,PEMBROKE,19
1960,Feb,PETERBOROUGH,18
1960,Feb,PORT ARTHUR,19
1960,Feb,PORT COLBORNE,12
1960,Feb,SARNIA,24
1960,Feb,SAULT STE MARIE,33
1960,Feb,SCARBOROUGH TWP,41
1960,Feb,SIMCOE,8
1960,Feb,SMITHS FALLS,8
1960,Feb,ST CATHARINES,36
1960,Feb,ST THOMAS,16
1960,Feb,STAMFORD TWP,9
1960,Feb,STRATFORD,7
1960,Feb,STURGEON FALLS,6
1960,Feb,SUDBURY,56
1960,Feb,TECK TWP,12
1960,Feb,TIMMINS,16
1960,Feb,TORONTO,679
1960,Feb,TRENTON,8
1960,Feb,WALLACEBURG,9
1960,Feb,WELLAND,20
1960,Feb,WESTON,6
1960,Feb,WHITBY,9
1960,Feb,WINDSOR,88
1960,Feb,WOODSTOCK,6
1960,Feb,YORK TWP,14
1960,Jan,BARRIE,8
1960,Jan,BELLEVILLE,11
1960,Jan,BRANTFORD,14
1960,Jan,BROCKVILLE,6
1960,Jan,BURLINGTON,6
1960,Jan,CHATHAM,13
1960,Jan,CORNWALL,11
1960,Jan,ETOBICOKE TWP,11
1960,Jan,FORT WILLIAM,10
1960,Jan,GALT,8
1960,Jan,GANANOQUE,7
1960,Jan,GUELPH,19
1960,Jan,HAMILTON,106
1960,Jan,KINGSTON,25
1960,Jan,KITCHENER,34
1960,Jan,LONDON,58
1960,Jan,MIDLAND,7
1960,Jan,MIMICO,7
1960,Jan,N YORK TWP,20
1960,Jan,NIAGARA FALLS,20
1960,Jan,NORTH BAY,20
1960,Jan,OSHAWA,25
1960,Jan,OTTAWA,96
1960,Jan,OWEN SOUND,12
1960,Jan,PEMBROKE,6
1960,Jan,PETERBOROUGH,18
1960,Jan,PORT ARTHUR,28
1960,Jan,PORT COLBORNE,6
1960,Jan,PRESTON,6
1960,Jan,SARNIA,16
1960,Jan,SAULT STE MARIE,21
1960,Jan,SCARBOROUGH TWP,28
1960,Jan,ST CATHARINES,25
1960,Jan,ST THOMAS,17
1960,Jan,STURGEON FALLS,6
1960,Jan,SUDBURY,32
1960,Jan,TECK TWP,6
1960,Jan,TIMMINS,7
1960,Jan,TORONTO,580
1960,Jan,TORONTO TWP,7
1960,Jan,TRENTON,7
1960,Jan,WATERLOO,7
1960,Jan,WELLAND,11
1960,Jan,WESTON,10
1960,Jan,WINDSOR,58
1960,Jan,YORK TWP,18
1960,Jul,ACTON,6
1960,Jul,ALEXANDRIA,6
1960,Jul,ALFRED,9
1960,Jul,ALLISTON,6
1960,Jul,AMHERSTBURG,11
1960,Jul,ARNPRIOR,8
1960,Jul,AYLMER,7
1960,Jul,BANCROFT,6
1960,Jul,BARRIE,33
1960,Jul,BELLEVILLE,34
1960,Jul,BRACEBRIDGE,6
1960,Jul,BRADFORD,7
1960,Jul,BRAMPTON,15
1960,Jul,BRANTFORD,55
1960,Jul,BROCKVILLE,35
1960,Jul,BURLINGTON,31
1960,Jul,CARLETON PLACE,6
1960,Jul,CASSELMAN,9
1960,Jul,CHARLOTTENBRGH,6
1960,Jul,CHATHAM,32
1960,Jul,CLINTON,11
1960,Jul,COBOURG,12
1960,Jul,COCHRANE,8
1960,Jul,COLLINGWOOD,10
1960,Jul,COPPER CLIFF,10
1960,Jul,CORNWALL,48
1960,Jul,DRESDEN,7
1960,Jul,DRYDEN,10
1960,Jul,DUNDAS,9
1960,Jul,E YORK TWP,8
1960,Jul,EASTVIEW,12
1960,Jul,EGANVILLE,7
1960,Jul,ELLIOT LAKE,12
1960,Jul,ETOBICOKE TWP,44
1960,Jul,FORT ERIE,10
1960,Jul,FORT FRANCES,7
1960,Jul,FORT WILLIAM,35
1960,Jul,FRANKFORD,6
1960,Jul,GALT,28
1960,Jul,GANANOQUE,6
1960,Jul,GEORGETOWN,7
1960,Jul,GRANTHAM TWP,10
1960,Jul,GRIMSBY,10
1960,Jul,GUELPH,51
1960,Jul,HAILEYBURY,6
1960,Jul,HAMILTON,245
1960,Jul,HANOVER,6
1960,Jul,HAWKESBURY,10
1960,Jul,INGERSOLL,11
1960,Jul,IROQUOIS FALLS,6
1960,Jul,KAPUSKASING,6
1960,Jul,KENORA,9
1960,Jul,KINCARDINE,8
1960,Jul,KINGSTON,49
1960,Jul,KIRKLAND LAKE,7
1960,Jul,KITCHENER,85
1960,Jul,LEAMINGTON,12
1960,Jul,LEASIDE,8
1960,Jul,LINDSAY,9
1960,Jul,LONDON,142
1960,Jul,LONDON TWP,9
1960,Jul,LONG BRANCH,14
1960,Jul,MIDLAND,8
1960,Jul,MILTON,9
1960,Jul,MIMICO,22
1960,Jul,N YORK TWP,55
1960,Jul,NAPANEE,6
1960,Jul,NEW LISKEARD,10
1960,Jul,NEW TORONTO,9
1960,Jul,NEWMARKET,13
1960,Jul,NIAGARA FALLS,42
1960,Jul,NORTH BAY,33
1960,Jul,OAKVILLE,13
1960,Jul,ORILLIA,17
1960,Jul,OSHAWA,62
1960,Jul,OTTAWA,212
1960,Jul,OWEN SOUND,18
1960,Jul,PARRY SOUND,13
1960,Jul,PEMBROKE,25
1960,Jul,PERTH,6
1960,Jul,PETERBOROUGH,58
1960,Jul,PETROLIA,6
1960,Jul,PICTON,10
1960,Jul,PORT ARTHUR,50
1960,Jul,PORT COLBORNE,13
1960,Jul,PORT CREDIT,19
1960,Jul,PORT HOPE,14
1960,Jul,PRESCOTT,7
1960,Jul,PRESTON,16
1960,Jul,RENFREW,14
1960,Jul,RICHMOND HILL,8
1960,Jul,SALTFLEET TWP,7
1960,Jul,SANDWICH E TWP,6
1960,Jul,SANDWICH W TWP,7
1960,Jul,SARNIA,40
1960,Jul,SAULT STE MARIE,63
1960,Jul,SCARBOROUGH TWP,72
1960,Jul,SIMCOE,9
1960,Jul,ST CATHARINES,57
1960,Jul,ST THOMAS,24
1960,Jul,STAMFORD TWP,11
1960,Jul,STRATFORD,17
1960,Jul,STRATHROY,10
1960,Jul,STURGEON FALLS,11
1960,Jul,SUDBURY,103
1960,Jul,TECK TWP,24
1960,Jul,TECUMSEH,6
1960,Jul,THOROLD,9
1960,Jul,TILLSONBURG,8
1960,Jul,TIMMINS,63
1960,Jul,TORONTO,1196
1960,Jul,TORONTO TWP,23
1960,Jul,TRENTON,16
1960,Jul,WAINFLEET TWP,6
1960,Jul,WALLACEBURG,12
1960,Jul,WATERLOO,14
1960,Jul,WELLAND,41
1960,Jul,WESTON,15
1960,Jul,WHITBY,19
1960,Jul,WINDSOR,123
